parameter,scale,norm_grade,metric,filter_type,filter_value,base_n,norm_value
Crispiness,7,Bottom 25%,T3B%,Sub-Method,Sequential Monadic,12,100.0
Crispiness,7,Bottom 25%,TB%,Sub-Method,Sequential Monadic,12,0.0
Crispiness,7,Top 25%,MS,Sub-Method,Sequential Monadic,12,7.0
Crispiness,7,Top 25%,T2B%,Sub-Method,Sequential Monadic,12,100.0
Crispiness,7,Top 25%,T3B%,Sub-Method,Sequential Monadic,12,100.0
Crispiness,7,Top 25%,TB%,Sub-Method,Sequential Monadic,12,100.0
Crispiness,7,Average 50%,MS,Test Type,Blind,25,7.0
Crispiness,7,Average 50%,T2B%,Test Type,Blind,25,100.0
Crispiness,7,Average 50%,T3B%,Test Type,Blind,25,100.0
Crispiness,7,Average 50%,TB%,Test Type,Blind,25,100.0
Crispiness,7,Bottom 25%,MS,Test Type,Blind,12,5.67
Crispiness,7,Bottom 25%,T2B%,Test Type,Blind,12,66.67
Crispiness,7,Bottom 25%,T3B%,Test Type,Blind,12,100.0
Crispiness,7,Bottom 25%,TB%,Test Type,Blind,12,0.0
Crispiness,7,Top 25%,MS,Test Type,Blind,12,7.0
Crispiness,7,Top 25%,T2B%,Test Type,Blind,12,100.0
Crispiness,7,Top 25%,T3B%,Test Type,Blind,12,100.0
Crispiness,7,Top 25%,TB%,Test Type,Blind,12,100.0
Crispiness,7,Average 50%,MS,Total,Total,25,7.0
Crispiness,7,Average 50%,T2B%,Total,Total,25,100.0
Crispiness,7,Average 50%,T3B%,Total,Total,25,100.0
Crispiness,7,Average 50%,TB%,Total,Total,25,100.0
Crispiness,7,Bottom 25%,MS,Total,Total,12,5.67
Crispiness,7,Bottom 25%,T2B%,Total,Total,12,66.67
Crispiness,7,Bottom 25%,T3B%,Total,Total,12,100.0
Crispiness,7,Bottom 25%,TB%,Total,Total,12,0.0
Crispiness,7,Top 25%,MS,Total,Total,12,7.0
Crispiness,7,Top 25%,T2B%,Total,Total,12,100.0
Crispiness,7,Top 25%,T3B%,Total,Total,12,100.0
Crispiness,7,Top 25%,TB%,Total,Total,12,100.0
Crispiness,7,Average 50%,MS,Type of Study,Product Test,25,7.0
Crispiness,7,Average 50%,T2B%,Type of Study,Product Test,25,100.0
Crispiness,7,Average 50%,T3B%,Type of Study,Product Test,25,100.0
Crispiness,7,Average 50%,TB%,Type of Study,Product Test,25,100.0
Crispiness,7,Bottom 25%,MS,Type of Study,Product Test,12,5.67
Crispiness,7,Bottom 25%,T2B%,Type of Study,Product Test,12,66.67
Crispiness,7,Bottom 25%,T3B%,Type of Study,Product Test,12,100.0
Crispiness,7,Bottom 25%,TB%,Type of Study,Product Test,12,0.0
Crispiness,7,Top 25%,MS,Type of Study,Product Test,12,7.0
Crispiness,7,Top 25%,T2B%,Type of Study,Product Test,12,100.0
Crispiness,7,Top 25%,T3B%,Type of Study,Product Test,12,100.0
Crispiness,7,Top 25%,TB%,Type of Study,Product Test,12,100.0
Crunchiness / Crispiness,7,Average 50%,MS,# of Product,4,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,# of Product,4,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,# of Product,4,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,# of Product,4,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,# of Product,4,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,# of Product,4,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,# of Product,4,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,# of Product,4,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,# of Product,4,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,# of Product,4,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,# of Product,4,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,# of Product,4,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Category,Food,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Category,Food,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Category,Food,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Category,Food,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Category,Food,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Category,Food,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Category,Food,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Category,Food,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Category,Food,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Category,Food,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Category,Food,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Category,Food,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Detail Product,Biscuits with Filling,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Detail Product,Biscuits with Filling,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Detail Product,Biscuits with Filling,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Detail Product,Biscuits with Filling,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Detail Product,Biscuits with Filling,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Detail Product,Biscuits with Filling,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Detail Product,Biscuits with Filling,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Detail Product,Biscuits with Filling,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Detail Product,Biscuits with Filling,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Detail Product,Biscuits with Filling,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Detail Product,Biscuits with Filling,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Detail Product,Biscuits with Filling,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Methodology,CLT Pre-Recruit,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Methodology,CLT Pre-Recruit,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Methodology,CLT Pre-Recruit,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Methodology,CLT Pre-Recruit,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Methodology,CLT Pre-Recruit,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Methodology,CLT Pre-Recruit,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Methodology,CLT Pre-Recruit,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Methodology,CLT Pre-Recruit,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Methodology,CLT Pre-Recruit,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Methodology,CLT Pre-Recruit,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Methodology,CLT Pre-Recruit,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Methodology,CLT Pre-Recruit,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sequence,Product 1,75,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Sequence,Product 1,75,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sequence,Product 1,75,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sequence,Product 1,75,85.33
Crunchiness / Crispiness,7,Bottom 25%,MS,Sequence,Product 1,37,5.27
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sequence,Product 1,37,51.35
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sequence,Product 1,37,81.08
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sequence,Product 1,37,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sequence,Product 1,37,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sequence,Product 1,37,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sequence,Product 1,37,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sequence,Product 1,37,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sequence,Product 2,75,6.8
Crunchiness / Crispiness,7,Average 50%,T2B%,Sequence,Product 2,75,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sequence,Product 2,75,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sequence,Product 2,75,80.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Sequence,Product 2,37,5.41
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sequence,Product 2,37,59.46
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sequence,Product 2,37,83.78
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sequence,Product 2,37,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sequence,Product 2,37,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sequence,Product 2,37,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sequence,Product 2,37,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sequence,Product 2,37,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sequence,Product 3,75,6.81
Crunchiness / Crispiness,7,Average 50%,T2B%,Sequence,Product 3,75,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sequence,Product 3,75,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sequence,Product 3,75,81.33
Crunchiness / Crispiness,7,Bottom 25%,MS,Sequence,Product 3,37,5.57
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sequence,Product 3,37,64.86
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sequence,Product 3,37,91.89
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sequence,Product 3,37,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sequence,Product 3,37,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sequence,Product 3,37,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sequence,Product 3,37,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sequence,Product 3,37,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sequence,Product 4,75,6.93
Crunchiness / Crispiness,7,Average 50%,T2B%,Sequence,Product 4,75,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sequence,Product 4,75,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sequence,Product 4,75,93.33
Crunchiness / Crispiness,7,Bottom 25%,MS,Sequence,Product 4,37,5.57
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sequence,Product 4,37,72.97
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sequence,Product 4,37,86.49
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sequence,Product 4,37,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sequence,Product 4,37,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sequence,Product 4,37,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sequence,Product 4,37,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sequence,Product 4,37,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sub-Category,Biscuit,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Sub-Category,Biscuit,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sub-Category,Biscuit,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sub-Category,Biscuit,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Sub-Category,Biscuit,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sub-Category,Biscuit,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sub-Category,Biscuit,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sub-Category,Biscuit,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sub-Category,Biscuit,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sub-Category,Biscuit,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sub-Category,Biscuit,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sub-Category,Biscuit,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Sub-Method,Sequential Monadic,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Sub-Method,Sequential Monadic,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Sub-Method,Sequential Monadic,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Sub-Method,Sequential Monadic,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Sub-Method,Sequential Monadic,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Sub-Method,Sequential Monadic,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Sub-Method,Sequential Monadic,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Sub-Method,Sequential Monadic,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Sub-Method,Sequential Monadic,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Sub-Method,Sequential Monadic,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Sub-Method,Sequential Monadic,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Sub-Method,Sequential Monadic,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Test Type,Blind,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Test Type,Blind,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Test Type,Blind,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Test Type,Blind,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Test Type,Blind,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Test Type,Blind,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Test Type,Blind,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Test Type,Blind,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Test Type,Blind,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Test Type,Blind,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Test Type,Blind,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Test Type,Blind,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Total,Total,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Total,Total,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Total,Total,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Total,Total,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Total,Total,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Total,Total,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Total,Total,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Total,Total,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Total,Total,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Total,Total,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Total,Total,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Total,Total,150,100.0
Crunchiness / Crispiness,7,Average 50%,MS,Type of Study,Product Test,300,6.85
Crunchiness / Crispiness,7,Average 50%,T2B%,Type of Study,Product Test,300,100.0
Crunchiness / Crispiness,7,Average 50%,T3B%,Type of Study,Product Test,300,100.0
Crunchiness / Crispiness,7,Average 50%,TB%,Type of Study,Product Test,300,85.0
Crunchiness / Crispiness,7,Bottom 25%,MS,Type of Study,Product Test,150,5.46
Crunchiness / Crispiness,7,Bottom 25%,T2B%,Type of Study,Product Test,150,62.67
Crunchiness / Crispiness,7,Bottom 25%,T3B%,Type of Study,Product Test,150,86.0
Crunchiness / Crispiness,7,Bottom 25%,TB%,Type of Study,Product Test,150,0.0
Crunchiness / Crispiness,7,Top 25%,MS,Type of Study,Product Test,150,7.0
Crunchiness / Crispiness,7,Top 25%,T2B%,Type of Study,Product Test,150,100.0
Crunchiness / Crispiness,7,Top 25%,T3B%,Type of Study,Product Test,150,100.0
Crunchiness / Crispiness,7,Top 25%,TB%,Type of Study,Product Test,150,100.0
Disguise Pores,7,Average 50%,MS,# of Product,1,15,6.8
Disguise Pores,7,Average 50%,T2B%,# of Product,1,15,100.0
Disguise Pores,7,Average 50%,T3B%,# of Product,1,15,100.0
Disguise Pores,7,Average 50%,TB%,# of Product,1,15,80.0
Disguise Pores,7,Bottom 25%,MS,# of Product,1,7,4.14
Disguise Pores,7,Bottom 25%,T2B%,# of Product,1,7,42.86
Disguise Pores,7,Bottom 25%,T3B%,# of Product,1,7,57.14
Disguise Pores,7,Bottom 25%,TB%,# of Product,1,7,0.0
Disguise Pores,7,Top 25%,MS,# of Product,1,7,7.0
Disguise Pores,7,Top 25%,T2B%,# of Product,1,7,100.0
Disguise Pores,7,Top 25%,T3B%,# of Product,1,7,100.0
Disguise Pores,7,Top 25%,TB%,# of Product,1,7,100.0
Disguise Pores,7,Average 50%,MS,Actual Age,20.0,1,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,20.0,1,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,20.0,1,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,20.0,1,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,20.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,20.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,20.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,20.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,20.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,20.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,20.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,20.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,21.0,1,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,21.0,1,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,21.0,1,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,21.0,1,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,21.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,21.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,21.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,21.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,21.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,21.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,21.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,21.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,22.0,1,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,22.0,1,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,22.0,1,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,22.0,1,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,22.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,22.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,22.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,22.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,22.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,22.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,22.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,22.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,23.0,0,
Disguise Pores,7,Average 50%,T2B%,Actual Age,23.0,0,
Disguise Pores,7,Average 50%,T3B%,Actual Age,23.0,0,
Disguise Pores,7,Average 50%,TB%,Actual Age,23.0,0,
Disguise Pores,7,Bottom 25%,MS,Actual Age,23.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,23.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,23.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,23.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,23.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,23.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,23.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,23.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,24.0,0,
Disguise Pores,7,Average 50%,T2B%,Actual Age,24.0,0,
Disguise Pores,7,Average 50%,T3B%,Actual Age,24.0,0,
Disguise Pores,7,Average 50%,TB%,Actual Age,24.0,0,
Disguise Pores,7,Bottom 25%,MS,Actual Age,24.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,24.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,24.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,24.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,24.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,24.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,24.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,24.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,25.0,0,
Disguise Pores,7,Average 50%,T2B%,Actual Age,25.0,0,
Disguise Pores,7,Average 50%,T3B%,Actual Age,25.0,0,
Disguise Pores,7,Average 50%,TB%,Actual Age,25.0,0,
Disguise Pores,7,Bottom 25%,MS,Actual Age,25.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,25.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,25.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,25.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,25.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,25.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,25.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,25.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,28.0,0,
Disguise Pores,7,Average 50%,T2B%,Actual Age,28.0,0,
Disguise Pores,7,Average 50%,T3B%,Actual Age,28.0,0,
Disguise Pores,7,Average 50%,TB%,Actual Age,28.0,0,
Disguise Pores,7,Bottom 25%,MS,Actual Age,28.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,28.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,28.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,28.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,28.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,28.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,28.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,28.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,29.0,2,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,29.0,2,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,29.0,2,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,29.0,2,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,29.0,1,6.0
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,29.0,1,100.0
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,29.0,1,100.0
Disguise Pores,7,Bottom 25%,TB%,Actual Age,29.0,1,0.0
Disguise Pores,7,Top 25%,MS,Actual Age,29.0,1,7.0
Disguise Pores,7,Top 25%,T2B%,Actual Age,29.0,1,100.0
Disguise Pores,7,Top 25%,T3B%,Actual Age,29.0,1,100.0
Disguise Pores,7,Top 25%,TB%,Actual Age,29.0,1,100.0
Disguise Pores,7,Average 50%,MS,Actual Age,30.0,2,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,30.0,2,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,30.0,2,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,30.0,2,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,30.0,1,1.0
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,30.0,1,0.0
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,30.0,1,0.0
Disguise Pores,7,Bottom 25%,TB%,Actual Age,30.0,1,0.0
Disguise Pores,7,Top 25%,MS,Actual Age,30.0,1,7.0
Disguise Pores,7,Top 25%,T2B%,Actual Age,30.0,1,100.0
Disguise Pores,7,Top 25%,T3B%,Actual Age,30.0,1,100.0
Disguise Pores,7,Top 25%,TB%,Actual Age,30.0,1,100.0
Disguise Pores,7,Average 50%,MS,Actual Age,32.0,2,6.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,32.0,2,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,32.0,2,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,32.0,2,0.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,32.0,1,3.0
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,32.0,1,0.0
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,32.0,1,0.0
Disguise Pores,7,Bottom 25%,TB%,Actual Age,32.0,1,0.0
Disguise Pores,7,Top 25%,MS,Actual Age,32.0,1,6.0
Disguise Pores,7,Top 25%,T2B%,Actual Age,32.0,1,100.0
Disguise Pores,7,Top 25%,T3B%,Actual Age,32.0,1,100.0
Disguise Pores,7,Top 25%,TB%,Actual Age,32.0,1,0.0
Disguise Pores,7,Average 50%,MS,Actual Age,33.0,1,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,33.0,1,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,33.0,1,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,33.0,1,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,33.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,33.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,33.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,33.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,33.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,33.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,33.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,33.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,34.0,1,7.0
Disguise Pores,7,Average 50%,T2B%,Actual Age,34.0,1,100.0
Disguise Pores,7,Average 50%,T3B%,Actual Age,34.0,1,100.0
Disguise Pores,7,Average 50%,TB%,Actual Age,34.0,1,100.0
Disguise Pores,7,Bottom 25%,MS,Actual Age,34.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,34.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,34.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,34.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,34.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,34.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,34.0,0,
Disguise Pores,7,Top 25%,TB%,Actual Age,34.0,0,
Disguise Pores,7,Average 50%,MS,Actual Age,35.0,0,
Disguise Pores,7,Average 50%,T2B%,Actual Age,35.0,0,
Disguise Pores,7,Average 50%,T3B%,Actual Age,35.0,0,
Disguise Pores,7,Average 50%,TB%,Actual Age,35.0,0,
Disguise Pores,7,Bottom 25%,MS,Actual Age,35.0,0,
Disguise Pores,7,Bottom 25%,T2B%,Actual Age,35.0,0,
Disguise Pores,7,Bottom 25%,T3B%,Actual Age,35.0,0,
Disguise Pores,7,Bottom 25%,TB%,Actual Age,35.0,0,
Disguise Pores,7,Top 25%,MS,Actual Age,35.0,0,
Disguise Pores,7,Top 25%,T2B%,Actual Age,35.0,0,
Disguise Pores,7,Top 25%,T3B%,Actual Age,35.0,0,
